State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Amenities_Count,Floor_Ratio,Good_Investment
Kerala,Trivandrum,Locality_150,Apartment,3,4766,55.83,0.01,2012,Semi-furnished,10,13,14,10,9,2,1,1,"Playground, Clubhouse, Pool, Garden",South,Builder,Ready_to_Move,4,0.7692307692307693,1
Madhya Pradesh,Indore,Locality_494,Villa,2,3881,204.19,0.05,2004,Furnished,14,16,22,9,3,2,1,1,"Clubhouse, Gym, Pool, Playground, Garden",South,Owner,Under_Construction,5,0.875,1
Uttar Pradesh,Noida,Locality_431,Apartment,3,1443,173.87,0.12,2009,Furnished,23,23,17,10,3,3,0,1,"Pool, Garden, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move,5,1.0,0
Delhi,New Delhi,Locality_484,Apartment,2,3300,274.47,0.08,2010,Semi-furnished,0,28,16,9,10,2,1,1,"Clubhouse, Gym, Playground",South,Builder,Ready_to_Move,3,0.0,1
Karnataka,Bangalore,Locality_125,Apartment,5,3276,139.64,0.04,1997,Semi-furnished,9,14,29,4,7,2,0,1,"Gym, Pool",West,Broker,Under_Construction,2,0.6428571428571429,0
Andhra Pradesh,Vijayawada,Locality_64,Villa,1,2471,437.65,0.18,2022,Furnished,4,7,4,1,4,1,0,1,"Gym, Playground, Garden, Clubhouse",West,Owner,Under_Construction,4,0.5714285714285714,0
Punjab,Amritsar,Locality_372,Villa,1,1949,109.09,0.06,1999,Unfurnished,1,3,27,1,8,3,1,1,"Playground, Garden, Clubhouse, Gym, Pool",West,Owner,Under_Construction,5,0.3333333333333333,1
Bihar,Patna,Locality_76,Apartment,4,1574,100.44,0.06,2003,Semi-furnished,10,26,23,1,5,3,1,0,"Pool, Garden, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move,5,0.38461538461538464,1
Madhya Pradesh,Bhopal,Locality_121,Independent House,1,3000,87.74,0.03,2017,Semi-furnished,13,25,9,4,4,2,1,1,Garden,East,Builder,Under_Construction,1,0.52,0
Uttar Pradesh,Lucknow,Locality_128,Independent House,1,1704,148.92,0.09,2014,Unfurnished,11,21,12,2,4,2,1,0,"Pool, Garden, Gym, Playground, Clubhouse",West,Builder,Ready_to_Move,5,0.5238095238095238,0
Delhi,New Delhi,Locality_205,Villa,2,1518,408.45,0.27,2005,Semi-furnished,1,1,21,9,2,1,0,0,"Pool, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move,4,1.0,0
Gujarat,Surat,Locality_418,Independent House,3,3757,470.63,0.13,2018,Semi-furnished,11,23,8,6,2,3,1,1,Gym,South,Builder,Under_Construction,1,0.4782608695652174,0
Andhra Pradesh,Vishakhapatnam,Locality_92,Apartment,3,2410,272.3,0.11,2020,Semi-furnished,10,11,6,3,8,2,0,1,Playground,North,Builder,Under_Construction,1,0.9090909090909091,0
Chhattisgarh,Bilaspur,Locality_473,Villa,4,1629,222.48,0.14,2019,Unfurnished,14,26,7,2,8,1,1,0,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move,4,0.5384615384615384,0
Rajasthan,Jaipur,Locality_63,Villa,3,4649,176.55,0.04,1996,Furnished,21,22,30,8,4,3,0,0,"Garden, Gym, Clubhouse",East,Owner,Ready_to_Move,3,0.9545454545454546,1
Haryana,Gurgaon,Locality_12,Independent House,2,1876,263.29,0.14,2020,Unfurnished,11,12,6,9,6,3,0,1,"Clubhouse, Garden",South,Owner,Under_Construction,2,0.9166666666666666,0
Karnataka,Bangalore,Locality_498,Independent House,4,3936,401.88,0.1,1999,Furnished,2,6,27,3,6,3,0,1,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Ready_to_Move,5,0.3333333333333333,0
Rajasthan,Jodhpur,Locality_356,Independent House,2,3065,111.1,0.04,1992,Semi-furnished,8,16,34,10,3,2,0,1,"Playground, Garden, Pool, Gym",South,Broker,Ready_to_Move,4,0.5,1
Haryana,Gurgaon,Locality_1,Apartment,2,3729,178.74,0.05,2011,Semi-furnished,23,27,15,1,3,1,1,0,"Garden, Pool, Playground, Clubhouse",South,Builder,Ready_to_Move,4,0.8518518518518519,0
Andhra Pradesh,Vishakhapatnam,Locality_394,Villa,1,4888,59.7,0.01,1993,Furnished,0,4,33,7,4,3,0,1,"Pool, Playground, Clubhouse, Garden",West,Broker,Ready_to_Move,4,0.0,1
Delhi,New Delhi,Locality_420,Villa,3,3596,129.74,0.04,1996,Furnished,15,24,30,9,3,1,0,1,Clubhouse,West,Builder,Ready_to_Move,1,0.625,0
Uttar Pradesh,Noida,Locality_305,Villa,3,4607,223.89,0.05,2000,Unfurnished,24,25,26,2,10,3,1,1,"Playground, Garden, Clubhouse, Gym",West,Builder,Under_Construction,4,0.96,1
Jharkhand,Ranchi,Locality_181,Independent House,3,2163,57.29,0.03,2010,Semi-furnished,28,30,16,9,8,1,1,0,Pool,East,Owner,Ready_to_Move,1,0.9333333333333333,0
Haryana,Faridabad,Locality_75,Villa,1,1763,201.3,0.11,1995,Furnished,7,8,31,2,1,2,1,1,"Playground, Pool",North,Broker,Ready_to_Move,2,0.875,0
Uttar Pradesh,Lucknow,Locality_179,Independent House,3,4283,40.33,0.01,2016,Semi-furnished,15,22,10,3,7,3,1,0,"Playground, Pool",East,Builder,Ready_to_Move,2,0.6818181818181818,0
West Bengal,Durgapur,Locality_430,Villa,3,1177,81.49,0.07,1994,Unfurnished,12,15,32,10,6,2,0,1,Garden,North,Owner,Ready_to_Move,1,0.8,0
Punjab,Ludhiana,Locality_363,Villa,1,1277,12.52,0.01,2001,Semi-furnished,4,9,25,3,9,2,0,1,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move,5,0.4444444444444444,1
Chhattisgarh,Raipur,Locality_151,Villa,3,1434,160.5,0.11,1993,Furnished,11,12,33,2,2,2,1,1,"Clubhouse, Playground, Garden, Gym",South,Broker,Under_Construction,4,0.9166666666666666,0
Punjab,Ludhiana,Locality_397,Villa,4,4925,338.2,0.07,2004,Furnished,4,18,22,8,6,1,0,1,"Playground, Garden, Gym, Pool",East,Owner,Under_Construction,4,0.2222222222222222,0
Andhra Pradesh,Vijayawada,Locality_172,Apartment,1,2476,475.83,0.19,1995,Furnished,0,23,31,7,1,2,1,0,"Playground, Garden, Gym",North,Broker,Under_Construction,3,0.0,0
West Bengal,Durgapur,Locality_84,Apartment,5,3283,86.05,0.03,2005,Furnished,8,20,21,1,4,1,1,0,Playground,North,Owner,Under_Construction,1,0.4,0
Assam,Silchar,Locality_480,Independent House,1,3547,451.9,0.13,1992,Furnished,20,21,34,10,8,1,0,0,Garden,South,Owner,Ready_to_Move,1,0.9523809523809523,0
Delhi,Dwarka,Locality_280,Independent House,3,2004,197.01,0.1,2021,Unfurnished,21,23,5,6,5,2,0,1,"Playground, Clubhouse, Garden",South,Owner,Ready_to_Move,3,0.9130434782608695,0
Karnataka,Mangalore,Locality_240,Villa,1,2002,292.93,0.15,1996,Semi-furnished,3,26,30,5,1,1,1,1,"Pool, Clubhouse, Playground, Gym",East,Builder,Under_Construction,4,0.11538461538461539,0
Telangana,Hyderabad,Locality_52,Independent House,5,2530,432.53,0.17,2007,Furnished,22,29,19,5,6,1,0,0,"Garden, Pool",North,Broker,Ready_to_Move,2,0.7586206896551724,0
Uttarakhand,Haridwar,Locality_393,Independent House,2,1503,28.63,0.02,2008,Semi-furnished,21,30,18,5,4,3,1,0,"Gym, Pool, Clubhouse",West,Builder,Ready_to_Move,3,0.7,1
Delhi,Dwarka,Locality_57,Villa,3,1835,247.94,0.14,2022,Furnished,12,26,4,2,6,1,1,0,"Pool, Garden, Gym, Clubhouse",North,Builder,Under_Construction,4,0.46153846153846156,0
Andhra Pradesh,Vijayawada,Locality_59,Independent House,3,1583,57.41,0.04,2020,Unfurnished,19,28,6,1,10,2,0,1,Pool,South,Broker,Ready_to_Move,1,0.6785714285714286,0
Uttarakhand,Haridwar,Locality_49,Independent House,1,3036,375.04,0.12,2000,Furnished,7,29,26,9,6,1,1,0,"Playground, Clubhouse, Pool, Garden",East,Owner,Under_Construction,4,0.2413793103448276,0
Bihar,Patna,Locality_363,Villa,4,4918,112.97,0.02,2007,Semi-furnished,16,22,19,5,6,2,1,1,"Garden, Gym",West,Broker,Under_Construction,2,0.7272727272727273,0
Chhattisgarh,Bilaspur,Locality_331,Independent House,1,1284,23.83,0.02,1996,Semi-furnished,7,9,30,7,8,1,0,0,"Playground, Gym, Garden",South,Builder,Under_Construction,3,0.7777777777777778,0
Haryana,Gurgaon,Locality_18,Apartment,4,2353,343.37,0.15,1991,Unfurnished,7,14,35,1,4,1,0,1,"Garden, Playground",West,Builder,Under_Construction,2,0.5,0
Tamil Nadu,Chennai,Locality_383,Independent House,5,2152,236.36,0.11,1995,Semi-furnished,23,24,31,5,6,3,1,0,"Pool, Gym, Playground, Clubhouse",South,Broker,Ready_to_Move,4,0.9583333333333334,0
Maharashtra,Nagpur,Locality_477,Independent House,5,3226,363.13,0.11,2008,Furnished,17,25,18,9,6,1,0,1,"Playground, Garden, Gym",West,Builder,Ready_to_Move,3,0.68,0
Assam,Guwahati,Locality_281,Independent House,1,4173,405.3,0.1,1994,Unfurnished,5,22,32,2,8,2,1,0,"Playground, Garden, Clubhouse, Pool",North,Owner,Under_Construction,4,0.22727272727272727,0
Gujarat,Surat,Locality_55,Independent House,2,3033,488.24,0.16,1997,Furnished,18,25,29,6,7,2,1,1,"Pool, Garden, Clubhouse",South,Builder,Ready_to_Move,3,0.72,0
Assam,Guwahati,Locality_250,Apartment,1,2166,78.92,0.04,2003,Semi-furnished,21,25,23,8,6,1,1,1,"Gym, Clubhouse, Garden, Playground",South,Builder,Under_Construction,4,0.84,0
Tamil Nadu,Coimbatore,Locality_139,Independent House,1,574,154.28,0.27,1997,Furnished,4,9,29,10,1,2,0,1,"Gym, Garden, Clubhouse",South,Owner,Under_Construction,3,0.4444444444444444,0
Kerala,Kochi,Locality_255,Apartment,2,2210,66.05,0.03,2014,Unfurnished,2,14,12,6,5,2,1,1,"Clubhouse, Gym, Garden, Pool, Playground",North,Broker,Under_Construction,5,0.14285714285714285,1
Assam,Silchar,Locality_90,Villa,5,1797,58.49,0.03,2001,Furnished,6,19,25,5,10,2,1,0,"Playground, Pool, Gym",North,Broker,Ready_to_Move,3,0.3157894736842105,1
Uttarakhand,Dehradun,Locality_314,Independent House,3,592,50.3,0.08,2013,Unfurnished,3,24,13,8,5,2,0,1,"Gym, Playground, Pool",North,Broker,Ready_to_Move,3,0.125,1
Uttar Pradesh,Noida,Locality_341,Villa,2,3521,263.96,0.07,2008,Unfurnished,13,18,18,8,5,1,0,0,"Pool, Clubhouse, Playground",West,Owner,Ready_to_Move,3,0.7222222222222222,0
West Bengal,Kolkata,Locality_459,Apartment,4,1585,27.75,0.02,2022,Furnished,13,30,4,8,6,3,0,1,"Playground, Garden, Clubhouse, Gym, Pool",South,Builder,Under_Construction,5,0.43333333333333335,1
Gujarat,Ahmedabad,Locality_382,Independent House,2,3902,400.96,0.1,1994,Furnished,3,13,32,10,2,2,1,1,"Playground, Pool, Garden, Gym, Clubhouse",West,Broker,Ready_to_Move,5,0.23076923076923078,0
Chhattisgarh,Bilaspur,Locality_43,Independent House,5,4786,162.94,0.03,2009,Furnished,9,15,17,8,2,2,0,1,Clubhouse,West,Broker,Ready_to_Move,1,0.6,0
Uttarakhand,Dehradun,Locality_251,Apartment,2,2662,308.52,0.12,2004,Unfurnished,0,10,22,3,4,2,1,0,Gym,East,Builder,Ready_to_Move,1,0.0,0
Tamil Nadu,Chennai,Locality_141,Independent House,1,4621,329.81,0.07,2006,Semi-furnished,11,28,20,5,3,1,1,1,"Garden, Gym, Clubhouse, Playground, Pool",West,Builder,Under_Construction,5,0.39285714285714285,0
Madhya Pradesh,Indore,Locality_23,Apartment,1,4629,410.41,0.09,2000,Semi-furnished,6,28,26,5,2,2,1,1,"Garden, Pool, Gym",South,Builder,Ready_to_Move,3,0.21428571428571427,0
Jharkhand,Jamshedpur,Locality_478,Apartment,4,2560,40.86,0.02,2005,Unfurnished,16,22,21,3,7,3,0,1,"Pool, Clubhouse, Playground, Garden",South,Broker,Under_Construction,4,0.7272727272727273,1
Delhi,Dwarka,Locality_146,Independent House,1,2578,290.11,0.11,1994,Semi-furnished,18,23,32,1,2,1,0,1,"Clubhouse, Gym, Pool, Garden, Playground",East,Owner,Ready_to_Move,5,0.782608695652174,0
Delhi,Dwarka,Locality_493,Villa,1,2685,286.53,0.11,2009,Furnished,12,20,17,3,6,2,1,1,"Gym, Garden, Playground, Pool, Clubhouse",North,Broker,Ready_to_Move,5,0.6,0
West Bengal,Kolkata,Locality_384,Apartment,3,4924,218.63,0.04,2022,Furnished,4,6,4,3,10,2,0,0,Clubhouse,North,Broker,Under_Construction,1,0.6666666666666666,0
Odisha,Bhubaneswar,Locality_350,Villa,1,1677,15.96,0.01,2009,Furnished,21,26,17,8,7,1,0,1,"Clubhouse, Pool",East,Owner,Under_Construction,2,0.8076923076923077,0
Chhattisgarh,Bilaspur,Locality_138,Independent House,1,866,140.45,0.16,2007,Unfurnished,15,30,19,8,8,1,1,0,"Pool, Garden, Gym, Clubhouse, Playground",South,Broker,Under_Construction,5,0.5,0
Uttarakhand,Haridwar,Locality_220,Villa,2,1800,210.85,0.12,2006,Semi-furnished,22,28,20,3,2,1,1,0,"Garden, Gym, Clubhouse, Playground, Pool",North,Owner,Ready_to_Move,5,0.7857142857142857,0
Madhya Pradesh,Bhopal,Locality_219,Independent House,1,4158,87.31,0.02,1992,Unfurnished,4,10,34,9,10,1,0,0,"Clubhouse, Playground, Pool, Garden",West,Builder,Under_Construction,4,0.4,0
Assam,Silchar,Locality_65,Apartment,3,3438,42.64,0.01,2003,Semi-furnished,17,27,23,7,8,3,1,0,"Playground, Pool",West,Broker,Ready_to_Move,2,0.6296296296296297,0
Bihar,Patna,Locality_112,Independent House,4,1971,413.63,0.21,2012,Semi-furnished,9,10,14,4,3,1,1,0,"Gym, Pool, Clubhouse, Playground",North,Owner,Under_Construction,4,0.9,0
Tamil Nadu,Coimbatore,Locality_363,Villa,2,4560,105.4,0.02,2021,Furnished,6,10,5,6,2,1,1,1,"Garden, Clubhouse, Pool",West,Owner,Under_Construction,3,0.6,0
Rajasthan,Jodhpur,Locality_476,Independent House,3,1685,343.79,0.2,2020,Furnished,17,21,6,6,9,3,1,1,"Gym, Pool, Clubhouse, Playground, Garden",South,Owner,Under_Construction,5,0.8095238095238095,0
Delhi,Dwarka,Locality_100,Villa,2,4106,233.31,0.06,2000,Semi-furnished,8,28,26,1,6,2,0,1,"Gym, Playground, Pool, Clubhouse, Garden",East,Broker,Under_Construction,5,0.2857142857142857,1
Maharashtra,Nagpur,Locality_220,Independent House,3,2833,147.8,0.05,2019,Unfurnished,12,30,7,10,10,1,0,0,Gym,East,Builder,Ready_to_Move,1,0.4,0
Jharkhand,Ranchi,Locality_296,Apartment,2,1419,39.59,0.03,2014,Furnished,23,30,12,7,3,3,0,1,"Playground, Gym, Pool, Clubhouse, Garden",East,Owner,Ready_to_Move,5,0.7666666666666667,1
Chhattisgarh,Raipur,Locality_182,Villa,2,2220,402.61,0.18,2003,Semi-furnished,2,7,23,5,4,2,1,1,"Gym, Playground, Pool, Garden",North,Owner,Under_Construction,4,0.2857142857142857,0
Rajasthan,Jaipur,Locality_210,Villa,1,1123,56.84,0.05,2016,Unfurnished,5,25,10,6,2,2,0,1,"Playground, Clubhouse, Pool, Gym",East,Builder,Ready_to_Move,4,0.2,1
Jharkhand,Jamshedpur,Locality_333,Villa,2,1417,291.29,0.21,1994,Furnished,18,21,32,5,5,3,0,0,"Garden, Pool, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move,5,0.8571428571428571,0
Rajasthan,Jodhpur,Locality_89,Independent House,1,3283,87.5,0.03,2015,Semi-furnished,15,25,11,1,4,2,1,0,"Garden, Gym, Playground, Clubhouse, Pool",South,Builder,Under_Construction,5,0.6,1
Maharashtra,Nagpur,Locality_206,Villa,3,4396,325.98,0.07,2006,Unfurnished,7,8,20,10,4,1,1,0,"Garden, Playground, Pool, Gym, Clubhouse",East,Broker,Under_Construction,5,0.875,0
Delhi,Dwarka,Locality_283,Villa,1,4830,133.62,0.03,2017,Unfurnished,2,6,9,3,6,1,0,0,Gym,West,Broker,Ready_to_Move,1,0.3333333333333333,0
Karnataka,Mangalore,Locality_160,Villa,4,2710,391.27,0.14,2017,Semi-furnished,14,28,9,6,10,2,0,1,"Garden, Clubhouse, Gym, Playground, Pool",West,Builder,Ready_to_Move,5,0.5,0
Karnataka,Mysore,Locality_405,Independent House,5,3351,86.04,0.03,2010,Unfurnished,0,27,16,2,1,2,0,1,"Gym, Playground, Garden, Pool, Clubhouse",East,Builder,Under_Construction,5,0.0,1
Haryana,Gurgaon,Locality_67,Villa,1,2819,277.69,0.1,1996,Semi-furnished,8,29,30,5,10,3,0,0,"Gym, Clubhouse",South,Broker,Ready_to_Move,2,0.27586206896551724,0
Delhi,New Delhi,Locality_417,Independent House,1,1384,163.26,0.12,1995,Unfurnished,15,24,31,10,3,1,1,0,"Clubhouse, Garden, Pool",West,Broker,Under_Construction,3,0.625,0
Punjab,Amritsar,Locality_24,Apartment,1,1066,188.53,0.18,2022,Furnished,18,18,4,5,9,1,0,0,Pool,North,Owner,Ready_to_Move,1,1.0,0
Odisha,Cuttack,Locality_164,Independent House,1,3746,89.1,0.02,1999,Furnished,16,20,27,6,1,3,0,1,"Garden, Gym, Playground, Pool",West,Broker,Under_Construction,4,0.8,1
Uttar Pradesh,Lucknow,Locality_18,Apartment,4,3477,154.31,0.04,2011,Semi-furnished,3,24,15,4,9,1,0,1,"Garden, Clubhouse, Playground",East,Broker,Ready_to_Move,3,0.125,0
Chhattisgarh,Bilaspur,Locality_338,Apartment,1,3466,63.53,0.02,2016,Semi-furnished,10,12,10,6,2,1,1,0,"Clubhouse, Playground",North,Broker,Under_Construction,2,0.8333333333333334,0
Jharkhand,Ranchi,Locality_192,Villa,2,3471,17.01,0.0,2019,Semi-furnished,20,26,7,9,1,3,0,1,"Clubhouse, Garden",West,Owner,Under_Construction,2,0.7692307692307693,0
Odisha,Bhubaneswar,Locality_360,Apartment,1,2555,401.84,0.16,2009,Unfurnished,0,12,17,2,8,3,0,1,"Garden, Pool, Gym, Playground",South,Broker,Under_Construction,4,0.0,0
Odisha,Cuttack,Locality_140,Apartment,2,2136,115.93,0.05,2018,Unfurnished,21,29,8,4,4,2,1,0,"Pool, Gym, Playground",West,Owner,Ready_to_Move,3,0.7241379310344828,1
Telangana,Warangal,Locality_162,Apartment,2,2812,46.72,0.02,2003,Furnished,4,22,23,4,3,2,1,1,Gym,North,Builder,Under_Construction,1,0.18181818181818182,0
Uttar Pradesh,Noida,Locality_278,Apartment,5,3880,429.36,0.11,2018,Semi-furnished,19,27,8,6,7,3,1,0,Garden,East,Owner,Under_Construction,1,0.7037037037037037,0
Tamil Nadu,Chennai,Locality_182,Villa,1,4326,392.2,0.09,2001,Unfurnished,15,15,25,4,6,3,0,1,"Pool, Gym",South,Broker,Under_Construction,2,1.0,0
Telangana,Hyderabad,Locality_181,Villa,1,3010,29.24,0.01,2015,Unfurnished,2,20,11,6,5,2,1,0,"Pool, Playground, Garden, Clubhouse, Gym",East,Builder,Under_Construction,5,0.1,1
Madhya Pradesh,Bhopal,Locality_243,Independent House,4,4076,36.99,0.01,2021,Unfurnished,7,20,5,10,10,1,1,1,"Garden, Clubhouse, Pool, Playground",North,Builder,Ready_to_Move,4,0.35,0
Telangana,Hyderabad,Locality_259,Apartment,3,2879,31.33,0.01,1998,Unfurnished,27,30,28,2,3,2,0,0,"Clubhouse, Pool, Gym, Playground",South,Owner,Ready_to_Move,4,0.9,1
Bihar,Patna,Locality_414,Apartment,3,3235,354.19,0.11,2010,Semi-furnished,18,26,16,8,8,1,1,0,"Pool, Clubhouse, Garden, Gym, Playground",South,Broker,Ready_to_Move,5,0.6923076923076923,0
Karnataka,Mangalore,Locality_88,Villa,5,1982,234.86,0.12,2019,Unfurnished,16,25,7,4,6,1,0,0,"Gym, Clubhouse, Pool, Garden",East,Broker,Ready_to_Move,4,0.64,0
Tamil Nadu,Coimbatore,Locality_243,Villa,3,3289,457.11,0.14,2009,Unfurnished,10,29,17,10,6,3,0,1,"Garden, Playground",North,Owner,Ready_to_Move,2,0.3448275862068966,0
Andhra Pradesh,Vijayawada,Locality_125,Villa,5,1338,269.41,0.2,2000,Unfurnished,6,6,26,10,1,1,0,0,"Garden, Clubhouse, Gym",East,Owner,Ready_to_Move,3,1.0,0
Haryana,Faridabad,Locality_21,Villa,3,1319,147.26,0.11,2018,Unfurnished,16,22,8,5,6,1,1,1,"Pool, Clubhouse, Gym, Playground",North,Builder,Ready_to_Move,4,0.7272727272727273,0
Tamil Nadu,Chennai,Locality_21,Independent House,2,702,107.43,0.15,1990,Semi-furnished,0,3,36,10,7,1,1,0,"Clubhouse, Garden, Gym, Playground, Pool",West,Owner,Ready_to_Move,5,0.0,0
Uttar Pradesh,Lucknow,Locality_201,Independent House,1,2608,229.92,0.09,2007,Furnished,10,13,19,10,9,2,0,1,"Clubhouse, Playground, Garden, Pool, Gym",East,Builder,Ready_to_Move,5,0.7692307692307693,0
Uttar Pradesh,Noida,Locality_224,Independent House,5,2125,177.3,0.08,2001,Furnished,8,16,25,5,3,1,0,0,"Garden, Playground, Gym, Clubhouse",West,Broker,Under_Construction,4,0.5,0
Bihar,Gaya,Locality_162,Apartment,2,3376,51.83,0.02,1993,Semi-furnished,12,21,33,1,1,1,1,1,"Gym, Clubhouse, Garden, Playground, Pool",West,Broker,Under_Construction,5,0.5714285714285714,0
Gujarat,Ahmedabad,Locality_489,Independent House,1,1224,102.77,0.08,2004,Unfurnished,18,29,22,9,1,3,1,0,Clubhouse,West,Broker,Ready_to_Move,1,0.6206896551724138,0
Tamil Nadu,Chennai,Locality_182,Independent House,4,4994,468.83,0.09,2018,Furnished,19,23,8,4,9,2,1,0,"Clubhouse, Garden",South,Builder,Under_Construction,2,0.8260869565217391,0
Maharashtra,Pune,Locality_173,Apartment,2,1282,361.94,0.28,2003,Furnished,18,24,23,10,1,1,1,0,"Gym, Pool, Playground, Garden",North,Owner,Under_Construction,4,0.75,0
Rajasthan,Jodhpur,Locality_431,Villa,3,3712,84.81,0.02,2018,Semi-furnished,0,20,8,1,9,1,1,1,"Gym, Playground",West,Builder,Ready_to_Move,2,0.0,0
Odisha,Bhubaneswar,Locality_218,Apartment,5,4606,422.83,0.09,2021,Unfurnished,5,11,5,5,3,3,1,1,Playground,West,Owner,Ready_to_Move,1,0.45454545454545453,0
Uttar Pradesh,Lucknow,Locality_188,Villa,5,4969,321.24,0.06,2006,Unfurnished,13,15,20,4,5,3,1,0,"Pool, Gym, Clubhouse",West,Owner,Ready_to_Move,3,0.8666666666666667,1
